"SongName","ArtistName","AlbumName"
"Harder Than You Think","Public Enemy","How You Sell Soul to a Soulless People Who Sold Their Soul???"
"The W.A.N.D. (The Will Always Negates Defeat)","The Flaming Lips","At War With the Mystics"
"None of Us Are Free","Solomon Burke","Don't Give Up on Me"
"Woke Up This Morning","Alabama 3","La Peste"
"Space Hos","DANGERDOOM","The Mouse and the Mask"
"Honky Tonk Night Time Man","Lynyrd Skynyrd","Street Survivors"
"The Staunton Lick","Lemon Jelly","Lemonjelly.ky"
"Double Back","Alan Silvestri","Back to the Future III"
"What’s the Difference (feat. Eminem & Xzibit)","Dr. Dre","2001"
"Gold Lion","Yeah Yeah Yeahs","Gold Lion"
"Starlight (feat. Mani Hoffman)","The Supermen Lovers","The Player"
"Summers Magic","Mark Summers","Unknown Album"
"Waterloo Sunset","The Kinks","Something Else by The Kinks"
"Attack of the Crab Woman","Daikaiju","Daikaiju"
"Gimme Back My Bullets","Lynyrd Skynyrd","All Time Greatest Hits"
"Magic Carpet Ride","Steppenwolf","16 Greatest Hits"
"Remember When (Side B)","The Black Keys","Attack & Release"
"I Got Mine","The Black Keys","Attack & Release"
"Master Blaster (Jammin')","Stevie Wonder","Hotter Than July"
"Mansion on the Hill","Alabama 3","La Peste"
"Colossal","Wolfmother","Wolfmother"
"Superbad","James Brown","Mr. Dynamite"
"The Beat That My Heart Skipped","Dan le Sac vs. Scroobius Pip","The Beat That My Heart Skipped"
"Sofa King","DANGERDOOM","The Mouse and the Mask"
"Rapp Snitch Knishes (feat. Mr. Fantastik)","MF DOOM","MM..FOOD"
"U Don't Dans 2 Tekno Anymore","Alabama 3","Exile on Coldharbour Lane"
"In the Journey","Martin Sexton","In the Journey"
"Don't Joke With a Hungry Man, Part 3","Spanky Wilson & The Quantic Soul Orchestra","I'm Thankful"
"Fort knox","Goldfish","Perceptions of Pacha"
"Soundtracks and come backs","Goldfish","Perceptions of Pacha"
"Something Good '08 (radio edit)","Utah Saints","Something Good '08"
"Suzy","Caravan Palace","Caravan Palace"
"Je m’amuse","Caravan Palace","Caravan Palace"
"Qué Onda Guero","Beck","Guero"
"Swamp Music","Lynyrd Skynyrd","All Time Greatest Hits"
"Saturday Night Special","Lynyrd Skynyrd","Nuthin' Fancy"
"01_-_Mother_of_All_Funk_Chords","Kutiman","Thru You"
"Same Old Thing","The Black Keys","Attack & Release"
"War","Hypnotic Brass Ensemble","Hypnotic Brass Ensemble"
"Catgroove","Parov Stelar","Shine"
"ThunderBusters [Wax Audio]","Ray Parker Jr. vs. AC/DC","Mash-Up Your Bootz Party Vol. 6"
"Scumbag Blues","Them Crooked Vultures","Them Crooked Vultures"
"The Outsider","Lack of Afro","Get Into The Groove (and you can dance...)"
"Can You Get to That","Funkadelic","Maggot Brain"
"Bonkers [With Armand Van Helden]","Dizzee Rascal","Tongue n' Cheek"
"Funky Fanfare (small group)","Keith Mansfield","Beat Incidental (KPM 1043)"
"Bad Cartridge (E-Pro Remix)","Beck","Gameboy Variations (Hell Yes EP)"
"Forgot About Dre (feat. Eminem)","Dr. Dre","2001"
"Who's Been Loving You?","George Watsky","Watsky"
